id,formacao_ouvinte,origem_ouvinte,instituicao_ouvinte,laboratorio_ouvinte
179,PosDoc,PPGE,UFRJ,Limnologia
105,Mestrado,PPGE,UFRJ,Limnologia
78,Mestrado,PPGE,UFRJ,Inseto-Planta
138,Doutorado,PPGE,UFRJ,Vertebrados
122,Mestrado,PPGE,UFRJ,Vertebrados
33,Doutorado,PPGE,UFRJ,Inseto-Planta
47,Mestre,Interno,UFRJ,LEI
155,Professor,Dept Ecologia,UFRJ,LEI
67,Graduacao,IB,UFRJ,NA
84,Professor,Dept Ecologia,UFRJ,LECP
18,Doutorado,PPGE,UFRJ,Vertebrados
205,Doutorado,Externo,PEA,NA
211,Graduacao,IB,UFRJ,NA
75,Professor,Externo,UERJ,Riachos
152,Researcher,Interno,UFRJ,Vertebrados
217,Professor,Externo,UERJ,Riachos
198,Professor,Dept Ecologia,UFRJ,LEI
206,Licenciatura,IB,UFRJ,Limnologia
207,Licenciatura,IB,UFRJ,Limnologia
189,Graduacao,IB,UFRJ,Limnologia
46,Graduacao,IB,UFRJ,Limnologia
129,Graduacao,IB,UFRJ,NA
92,NA,NA,UFRJ,LECP
137,Graduacao,IB,UFRJ,NA
141,Graduacao,IB,UFRJ,LEI
24,Graduacao,IB,UFRJ,NA
162,PosDoc,PPGE,UFRJ,Vertebrados
182,PosDoc,PPE/COPPE,UFRJ,Vertebrados
83,Mestrado,PPGE,PUC,IIS
80,Mestrado,PPGE,UFRJ,Peixes
165,Doutorado,PPGE,UFRJ,Vertebrados
171,Doutorado,PPGE,UFRJ,Ecologia Vegetal
172,Doutorado,PPGE,UFRJ,Ecologia Vegetal
71,Professor,Dept Ecologia,UFRJ,Ecologia Vegetal
204,Doutorado,PPGE,UFRJ,Ecologia Vegetal
40,PosDoc,PPGE,UFRJ,Vertebrados
199,Professor,Dept Ecologia,UFRJ,Ecologia Vegetal
58,Professor,Dept Ecologia,UFRJ,Inseto-Planta
164,Doutorado,PPGE,Jardim Botanico,Polinizacao
5,PosDoc,PPGE,UFRJ,Limnologia
195,Doutor,IIS,PUC,IIS
224,Mestre,IIS,PUC,IIS
69,Mestrado,PPGE,UFRJ,Vertebrados
2,Doutorado,PPGE,UFRJ,Vertebrados
215,Mestrado,PPGE,UFRJ,Peixes
186,Mestrado,PPGE,UFRJ,Inseto-Planta
90,Mestrado,PPGE,UFRJ,LEI
52,PosDoc,PPGE,UFRJ,Vertebrados
209,Doutorado,PPGE,UFRJ,Vertebrados
135,Graduacao,IB,UFRJ,NA
190,Graduacao,IB,UFRJ,NA
191,Graduacao,IB,UFRJ,NA
29,Doutorado,PPGE,UFRJ,LECP
53,Mestrado,PPGE,UFRJ,LECP
3,Mestre,PPGE,UFRJ,Limnologia
56,Doutorado,PPGE,UFRJ,Limnologia
178,Graduacao,IB,UFRJ,Inseto-Planta
170,PosDoc,PPGE,UFRJ,Vertebrados
74,Mestrado,PPGE,UFRJ,Vertebrados
25,Graduacao,IB,UFRJ,NA
