sp	lon	lat
Caryocar brasiliense	-49.2466975	-20.55281922
Caryocar brasiliense	-47.51666667	-14.11666667
Caryocar brasiliense	-46.25	-20.91666667
Caryocar brasiliense	-48.91666667	-10.08333333
Caryocar brasiliense	-51.76666667	-12.81666667
Caryocar brasiliense	-48.9604309	-22.3232989
Caryocar brasiliense	-48.1408431	-22.07780334
Caryocar brasiliense	-47.386361	-20.122639
Caryocar brasiliense	-47.87466614	-22.18349736
Caryocar brasiliense	-47.95	-15.75
Caryocar brasiliense	-57.61666667	-17.75
Caryocar brasiliense	-52.16666667	-17.36666667
Caryocar brasiliense	-49.1209211	-21.99582504
Caryocar brasiliense	-48.5071	-23.3837
Caryocar brasiliense	-48.86797051	-20.48539802
Caryocar brasiliense	-48.83333333	-19.48333333
Caryocar brasiliense	-48.90372583	-22.2418131
Caryocar brasiliense	-47.21666667	-14.11666667
Caryocar brasiliense	-55.1	-20.43333333
Caryocar brasiliense	-51.04009452	-22.23186603
Caryocar brasiliense	-47.26666667	-14.11666667
Caryocar brasiliense	-44.06666667	-19.6
Caryocar brasiliense	-48.9195	-23.3591
Caryocar brasiliense	-44.33333333	-19.33333333
Caryocar brasiliense	-48.4963419	-22.0088026
Caryocar brasiliense	-47.81666667	-22.25
Caryocar brasiliense	-55.81666667	-15.35
Caryocar brasiliense	-48.04880551	-22.10816304
Caryocar brasiliense	-49.16666667	-12.06666667
Caryocar brasiliense	-47.417861	-20.092111
Caryocar brasiliense	-47.61666667	-21.68333333
Caryocar brasiliense	-44.45	-18.36666667
Caryocar brasiliense	-47.81666667	-21.66666667
Caryocar brasiliense	-51.81666667	-16.95
Caryocar brasiliense	-47.438306	-20.086083
Caryocar brasiliense	-48.8224	-23.3338
Caryocar brasiliense	-48.17789089	-22.10284573
Caryocar brasiliense	-44.45	-18.75
Caryocar brasiliense	-47.53333333	-15.51666667
Caryocar brasiliense	-43.86666667	-16.75
Caryocar brasiliense	-49.06705279	-22.60294462
Caryocar brasiliense	-52.21666667	-15
Caryocar brasiliense	-48.99768888	-22.66161865
Caryocar brasiliense	-54.58333333	-20.4
Caryocar brasiliense	-43.73333333	-19.65
Caryocar brasiliense	-47.88333333	-15.91666667
Caryocar brasiliense	-48.5288782	-22.07922968
Caryocar brasiliense	-44.86666667	-18.75
Caryocar brasiliense	-49.95782831	-21.38546826
Caryocar brasiliense	-51.20780797	-22.16587022
Caryocar brasiliense	-50.13648432	-22.5579643
Caryocar brasiliense	-49.00998996	-22.28815557
Caryocar brasiliense	-56.08333333	-15.53333333
Caryocar brasiliense	-50	-8.35
Caryocar brasiliense	-51.1099705	-22.2340562
Caryocar brasiliense	-49.00176142	-22.1121363
Caryocar brasiliense	-48.999621	-22.29812377
Caryocar brasiliense	-47.8	-6.883333333
Caryocar brasiliense	-44.41666667	-19.3
Caryocar brasiliense	-54.61666667	-16.48333333
Caryocar brasiliense	-52.33333333	-14.75
Caryocar brasiliense	-47.30672222	-20.17977778
Caryocar brasiliense	-47.63333333	-15.65
Caryocar brasiliense	-49.94514638	-21.40002398
Caryocar brasiliense	-48.03025808	-22.05352884
Caryocar brasiliense	-50.97884496	-22.37139193
Caryocar brasiliense	-50.1	-8.35
Caryocar brasiliense	-46.95	-22.43333333
Caryocar brasiliense	-47.95	-19.78333333
Caryocar brasiliense	-48.01455623	-22.06771984
Caryocar brasiliense	-48.41666667	-22.75
Caryocar brasiliense	-51.33320153	-22.47169632
Caryocar brasiliense	-47.5	-15.83333333
Caryocar brasiliense	-46.08333333	-7.5
Caryocar brasiliense	-48.9969734	-22.50803012
Caryocar brasiliense	-47.83333333	-15.86666667
Caryocar brasiliense	-48.9955	-23.3718
Caryocar brasiliense	-56.65	-18.98333333
Caryocar brasiliense	-48.5	-16.5
Caryocar brasiliense	-50.41666667	-10.43333333
Caryocar brasiliense	-46.91666667	-19.76666667
Caryocar brasiliense	-44.05	-19.65
Caryocar brasiliense	-45.16666667	-18.2
Caryocar brasiliense	-48.81467144	-20.49912192
Caryocar brasiliense	-45.83333333	-20.5
Caryocar brasiliense	-49.03190949	-22.35456943
Caryocar brasiliense	-47.83333333	-15.8
Caryocar brasiliense	-46.75	-17
Caryocar brasiliense	-49.02619118	-22.56925316
Caryocar brasiliense	-47.39725	-20.23963889
Caryocar brasiliense	-51.75	-17.96666667
Caryocar brasiliense	-51.31483488	-22.47776779
Caryocar brasiliense	-48.46072108	-22.01006003
Caryocar brasiliense	-51.15387354	-22.16667085
Caryocar brasiliense	-48.93169625	-22.29677522
Caryocar brasiliense	-46.51666667	-18.56666667
Caryocar brasiliense	-47.2	-18.33333333
Caryocar brasiliense	-47.16666667	-22.25
Caryocar brasiliense	-56.1	-15.6
Caryocar brasiliense	-49.16829742	-22.04220275
Caryocar brasiliense	-50.05832064	-22.5754649
Caryocar brasiliense	-50.94338957	-20.83857727
Caryocar brasiliense	-47.90411839	-22.187298
Caryocar brasiliense	-44.98333333	-21.23333333
Caryocar brasiliense	-54.1	-16.78333333
Caryocar brasiliense	-48.5	-15.25
Caryocar brasiliense	-51.29350604	-22.44895402
Caryocar brasiliense	-44.8	-21.3
Caryocar brasiliense	-46.41666667	-18.78333333
Caryocar brasiliense	-47.78333333	-22.13333333
Caryocar brasiliense	-44.1	-19.53333333
Caryocar brasiliense	-48.02322301	-22.1096841
Caryocar brasiliense	-47.38333333	-13.91666667
Caryocar brasiliense	-50.03389269	-22.52311882
