"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,33,"BRA","Brazil",1,"Acre",1,"Acrelândia",1,"Acrelândia","Distrito","District",NA,NA
2,33,"BRA","Brazil",1,"Acre",2,"Assis Brazil",2,"Assis Brazil","Distrito","District",NA,NA
3,33,"BRA","Brazil",1,"Acre",3,"Brasiléia",3,"Brazileia","Distrito","District",NA,NA
4,33,"BRA","Brazil",1,"Acre",4,"Bujari",4,"Bujari","Distrito","District",NA,NA
5,33,"BRA","Brazil",1,"Acre",5,"Capixaba",5,"Capixaba","Distrito","District",NA,NA
6,33,"BRA","Brazil",1,"Acre",6,"Cruzeiro do Sul",6,"Cruzeiro do Sul","Distrito","District",NA,NA
7,33,"BRA","Brazil",1,"Acre",7,"Epitaciolândia",7,"Epitaciolândia","Distrito","District",NA,NA
8,33,"BRA","Brazil",1,"Acre",8,"Feijó",8,"Feijó","Distrito","District",NA,NA
9,33,"BRA","Brazil",1,"Acre",9,"Jordão",9,"Jordão","Distrito","District",NA,NA
10,33,"BRA","Brazil",1,"Acre",10,"Mâncio Lima",10,"Mâncio Lima","Distrito","District",NA,NA
11,33,"BRA","Brazil",1,"Acre",11,"Manoel Urbano",11,"Manoel Urbano","Distrito","District",NA,NA
12,33,"BRA","Brazil",1,"Acre",12,"Marechal Thaumaturgo",12,"Marechal Thaumaturgo","Distrito","District",NA,NA
13,33,"BRA","Brazil",1,"Acre",13,"Plácido de Castro",13,"Plácido de Castro","Distrito","District",NA,NA
14,33,"BRA","Brazil",1,"Acre",14,"Porto Acre",14,"Porto Acre","Distrito","District",NA,NA
15,33,"BRA","Brazil",1,"Acre",15,"Porto Walter",15,"Porto Walter","Distrito","District",NA,NA
16,33,"BRA","Brazil",1,"Acre",16,"Rio Branco",16,"Rio Branco","Distrito","District",NA,NA
17,33,"BRA","Brazil",1,"Acre",17,"Rodrigues Alves",17,"Rodrigues Alves","Distrito","District",NA,NA
18,33,"BRA","Brazil",1,"Acre",18,"Santa Rosa do Purus",18,"Santa Rosa do Purus","Distrito","District",NA,NA
19,33,"BRA","Brazil",1,"Acre",19,"Sena Madureira",19,"Sena Madureira","Distrito","District",NA,NA
20,33,"BRA","Brazil",1,"Acre",20,"Senador Guiomard",20,"Senador Guiomard","Distrito","District",NA,NA
21,33,"BRA","Brazil",1,"Acre",21,"Tarauacá",21,"Tarauacá","Distrito","District",NA,NA
22,33,"BRA","Brazil",1,"Acre",22,"Xapuri",22,"Xapuri","Distrito","District",NA,NA
23,33,"BRA","Brazil",2,"Alagoas",23,"Água Branca",23,"Água Branca","Distrito","District",NA,NA
24,33,"BRA","Brazil",2,"Alagoas",24,"Anadia",24,"Anadia","Distrito","District",NA,NA
25,33,"BRA","Brazil",2,"Alagoas",25,"Arapiraca",25,"Arapiraca","Distrito","District",NA,NA
26,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia",26,"Atalaia","Distrito","District",NA,NA
27,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia",27,"Sapucaia","Distrito","District",NA,NA
28,33,"BRA","Brazil",2,"Alagoas",27,"Barra de São Miguel",28,"Barra de São Miguel","Distrito","District",NA,NA
29,33,"BRA","Brazil",2,"Alagoas",28,"Barra de Santo Antônio",29,"Barra de Santo Antônio","Distrito","District",NA,NA
30,33,"BRA","Brazil",2,"Alagoas",29,"Batalha",30,"Batalha","Distrito","District",NA,NA
31,33,"BRA","Brazil",2,"Alagoas",30,"Belém",31,"Belém","Distrito","District",NA,NA
32,33,"BRA","Brazil",2,"Alagoas",31,"Belo Monte",32,"Belo Monte","Distrito","District",NA,NA
33,33,"BRA","Brazil",2,"Alagoas",32,"Boca da Mata",33,"Boca da Mata","Distrito","District",NA,NA
34,33,"BRA","Brazil",2,"Alagoas",33,"Branquinha",34,"Branquinha","Distrito","District",NA,NA
35,33,"BRA","Brazil",2,"Alagoas",34,"Cacimbinhas",35,"Cacimbinhas","Distrito","District",NA,NA
36,33,"BRA","Brazil",2,"Alagoas",35,"Cajueiro",36,"Cajueiro","Distrito","District",NA,NA
37,33,"BRA","Brazil",2,"Alagoas",36,"Campestre",37,"Campestre","Distrito","District",NA,NA
38,33,"BRA","Brazil",2,"Alagoas",37,"Campo Alegre",38,"Campo Alegre","Distrito","District",NA,NA
39,33,"BRA","Brazil",2,"Alagoas",38,"Campo Grande",39,"Campo Grande","Distrito","District",NA,NA
40,33,"BRA","Brazil",2,"Alagoas",39,"Canapi",40,"Canapi","Distrito","District",NA,NA
41,33,"BRA","Brazil",2,"Alagoas",40,"Capela",41,"Capela","Distrito","District",NA,NA
42,33,"BRA","Brazil",2,"Alagoas",40,"Capela",42,"Santa Efigenia","Distrito","District",NA,NA
43,33,"BRA","Brazil",2,"Alagoas",41,"Carneiros",43,"Carneiros","Distrito","District",NA,NA
44,33,"BRA","Brazil",2,"Alagoas",42,"Chã Preta",44,"Chã Preta","Distrito","District",NA,NA
45,33,"BRA","Brazil",2,"Alagoas",43,"Coité do Nóia",45,"Coité do Nóia","Distrito","District",NA,NA
46,33,"BRA","Brazil",2,"Alagoas",44,"Colônia Leopoldina",46,"Colônia Leopoldina","Distrito","District",NA,NA
47,33,"BRA","Brazil",2,"Alagoas",45,"Coqueiro Seco",47,"Coqueiro Seco","Distrito","District",NA,NA
48,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe",48,"Coruripe","Distrito","District",NA,NA
49,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe",49,"Poxim","Distrito","District",NA,NA
50,33,"BRA","Brazil",2,"Alagoas",47,"Craíbas",50,"Craíbas","Distrito","District",NA,NA
51,33,"BRA","Brazil",2,"Alagoas",48,"Delmiro Gouveia",51,"Delmiro Gouveia","Distrito","District",NA,NA
52,33,"BRA","Brazil",2,"Alagoas",49,"Dois Riachos",52,"Dois Riachos","Distrito","District",NA,NA
53,33,"BRA","Brazil",2,"Alagoas",50,"Estrela de Alagoas",53,"Estrela de Alagoas","Distrito","District",NA,NA
54,33,"BRA","Brazil",2,"Alagoas",51,"Feira Grande",54,"Feira Grande","Distrito","District",NA,NA
55,33,"BRA","Brazil",2,"Alagoas",52,"Feliz Deserto",55,"Feliz Deserto","Distrito","District",NA,NA
56,33,"BRA","Brazil",2,"Alagoas",53,"Flexeiras",56,"Flexeiras","Distrito","District",NA,NA
57,33,"BRA","Brazil",2,"Alagoas",54,"Girau do Ponciano",57,"Girau do Ponciano","Distrito","District",NA,NA
58,33,"BRA","Brazil",2,"Alagoas",55,"Ibateguara",58,"Ibateguara","Distrito","District",NA,NA
59,33,"BRA","Brazil",2,"Alagoas",56,"Igaci",59,"Igaci","Distrito","District",NA,NA
60,33,"BRA","Brazil",2,"Alagoas",57,"Igreja Nova",60,"Igreja Nova","Distrito","District",NA,NA
61,33,"BRA","Brazil",2,"Alagoas",58,"Inhapi",61,"Inhapi","Distrito","District",NA,NA
62,33,"BRA","Brazil",2,"Alagoas",59,"Jacaré dos Homens",62,"Jacaré dos Homens","Distrito","District",NA,NA
63,33,"BRA","Brazil",2,"Alagoas",60,"Jacuípe",63,"Jacuípe","Distrito","District",NA,NA
64,33,"BRA","Brazil",2,"Alagoas",61,"Japaratinga",64,"Japaratinga","Distrito","District",NA,NA
65,33,"BRA","Brazil",2,"Alagoas",62,"Jaramataia",65,"Jaramataia","Distrito","District",NA,NA
66,33,"BRA","Brazil",2,"Alagoas",63,"Joaquim Gomes",66,"Joaquim Gomes","Distrito","District",NA,NA
67,33,"BRA","Brazil",2,"Alagoas",64,"Jundiá",67,"Jundiá","Distrito","District",NA,NA
68,33,"BRA","Brazil",2,"Alagoas",65,"Junqueiro",68,"Junqueiro","Distrito","District",NA,NA
69,33,"BRA","Brazil",2,"Alagoas",66,"Lagoa da Canoa",69,"Lagoa da Canoa","Distrito","District",NA,NA
70,33,"BRA","Brazil",2,"Alagoas",67,"Limoeiro de Anadia",70,"Limoeiro de Anadia","Distrito","District",NA,NA
71,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",71,"Quarta Regiao","Distrito","District",NA,NA
72,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",72,"Quinta Regiao","Distrito","District",NA,NA
73,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",73,"Segunda Regiao","Distrito","District",NA,NA
74,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",74,"Setima Regiao","Distrito","District",NA,NA
75,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",75,"Sexta Regiao","Distrito","District",NA,NA
76,33,"BRA","Brazil",2,"Alagoas",68,"Maceió (capital)",76,"Terceira Regiao","Distrito","District",NA,NA
77,33,"BRA","Brazil",2,"Alagoas",69,"Major Isidoro",77,"Major Isidoro","Distrito","District",NA,NA
78,33,"BRA","Brazil",2,"Alagoas",69,"Major Isidoro",78,"Riacho do Sertao","Distrito","District",NA,NA
79,33,"BRA","Brazil",2,"Alagoas",70,"Mar Vermelho",79,"Mar Vermelho","Distrito","District",NA,NA
80,33,"BRA","Brazil",2,"Alagoas",71,"Maragogi",80,"Barra Grande","Distrito","District",NA,NA
81,33,"BRA","Brazil",2,"Alagoas",71,"Maragogi",81,"Maragogi","Distrito","District",NA,NA
82,33,"BRA","Brazil",2,"Alagoas",72,"Maravilha",82,"Maravilha","Distrito","District",NA,NA
83,33,"BRA","Brazil",2,"Alagoas",73,"Marechal deodoro",83,"Marechal deodoro","Distrito","District",NA,NA
84,33,"BRA","Brazil",2,"Alagoas",74,"Maribondo",84,"Maribondo","Distrito","District",NA,NA
85,33,"BRA","Brazil",2,"Alagoas",75,"Mata Grande",85,"Mata Grande","Distrito","District",NA,NA
86,33,"BRA","Brazil",2,"Alagoas",76,"Matriz de Camaragibe",86,"Matriz de Camaragibe","Distrito","District",NA,NA
87,33,"BRA","Brazil",2,"Alagoas",77,"Messias",87,"Messias","Distrito","District",NA,NA
88,33,"BRA","Brazil",2,"Alagoas",78,"Minador do Negrão",88,"Minador do Negrão","Distrito","District",NA,NA
89,33,"BRA","Brazil",2,"Alagoas",79,"Monteirópolis",89,"Monteirópolis","Distrito","District",NA,NA
90,33,"BRA","Brazil",2,"Alagoas",80,"Murici",90,"Murici","Distrito","District",NA,NA
91,33,"BRA","Brazil",2,"Alagoas",81,"Novo Lino",91,"Novo Lino","Distrito","District",NA,NA
92,33,"BRA","Brazil",2,"Alagoas",82,"Olho d'Água das Flores",92,"Olho d'Água das Flores","Distrito","District",NA,NA
93,33,"BRA","Brazil",2,"Alagoas",83,"Olho d'Água do Casado",93,"Olho d'Água do Casado","Distrito","District",NA,NA
94,33,"BRA","Brazil",2,"Alagoas",84,"Olho d'Água Grande",94,"Olho d'Água Grande","Distrito","District",NA,NA
95,33,"BRA","Brazil",2,"Alagoas",85,"Olivença",95,"Olivença","Distrito","District",NA,NA
96,33,"BRA","Brazil",2,"Alagoas",86,"Ouro Branco",96,"Ouro Branco","Distrito","District",NA,NA
97,33,"BRA","Brazil",2,"Alagoas",87,"Pão de Açúcar",97,"Limoeiro","Distrito","District",NA,NA
98,33,"BRA","Brazil",2,"Alagoas",87,"Pão de Açúcar",98,"Pão de Açúcar","Distrito","District",NA,NA
99,33,"BRA","Brazil",2,"Alagoas",88,"Palestina",99,"Palestina","Distrito","District",NA,NA
100,33,"BRA","Brazil",2,"Alagoas",89,"Palmeira dos índios",100,"Caldeiroes de Cima","Distrito","District",NA,NA
101,33,"BRA","Brazil",2,"Alagoas",89,"Palmeira dos índios",101,"Canafistula","Distrito","District",NA,NA
102,33,"BRA","Brazil",2,"Alagoas",89,"Palmeira dos índios",102,"Palmeira dos índios","Distrito","District",NA,NA
103,33,"BRA","Brazil",2,"Alagoas",90,"Pariconha",103,"Pariconha","Distrito","District",NA,NA
104,33,"BRA","Brazil",2,"Alagoas",91,"Paripueira",104,"Paripueira","Distrito","District",NA,NA
105,33,"BRA","Brazil",2,"Alagoas",92,"Passo de Camaragibe",105,"Passo de Camaragibe","Distrito","District",NA,NA
106,33,"BRA","Brazil",2,"Alagoas",93,"Paulo Jacinto",106,"Paulo Jacinto","Distrito","District",NA,NA
107,33,"BRA","Brazil",2,"Alagoas",94,"Penedo",107,"Penedo","Distrito","District",NA,NA
108,33,"BRA","Brazil",2,"Alagoas",95,"Piaçabuçu",108,"Feliz Deserto","Distrito","District",NA,NA
109,33,"BRA","Brazil",2,"Alagoas",95,"Piaçabuçu",109,"Piaçabuçu","Distrito","District",NA,NA
110,33,"BRA","Brazil",2,"Alagoas",96,"Pilar",110,"Pilar","Distrito","District",NA,NA
111,33,"BRA","Brazil",2,"Alagoas",97,"Pindoba",111,"Pindoba","Distrito","District",NA,NA
112,33,"BRA","Brazil",2,"Alagoas",98,"Piranhas",112,"Entremontes","Distrito","District",NA,NA
113,33,"BRA","Brazil",2,"Alagoas",98,"Piranhas",113,"Piranhas","Distrito","District",NA,NA
114,33,"BRA","Brazil",2,"Alagoas",99,"Poço das Trincheiras",114,"Poço das Trincheiras","Distrito","District",NA,NA
115,33,"BRA","Brazil",2,"Alagoas",100,"Porto Calvo",115,"Porto Calvo","Distrito","District",NA,NA
116,33,"BRA","Brazil",2,"Alagoas",101,"Porto de Pedras",116,"Porto de Pedras","Distrito","District",NA,NA
117,33,"BRA","Brazil",2,"Alagoas",101,"Porto de Pedras",117,"Tatuamunha","Distrito","District",NA,NA
118,33,"BRA","Brazil",2,"Alagoas",102,"Porto Real do Colégio",118,"Porto Real do Colégio","Distrito","District",NA,NA
119,33,"BRA","Brazil",2,"Alagoas",103,"Quebrangulo",119,"Quebrangulo","Distrito","District",NA,NA
120,33,"BRA","Brazil",2,"Alagoas",104,"Rio Largo",120,"Rio Largo","Distrito","District",NA,NA
121,33,"BRA","Brazil",2,"Alagoas",105,"Roteiro",121,"Roteiro","Distrito","District",NA,NA
122,33,"BRA","Brazil",2,"Alagoas",106,"São Brás",122,"São Brás","Distrito","District",NA,NA
123,33,"BRA","Brazil",2,"Alagoas",107,"São José da Laje",123,"São José da Laje","Distrito","District",NA,NA
124,33,"BRA","Brazil",2,"Alagoas",108,"São José da Tapera",124,"São José da Tapera","Distrito","District",NA,NA
125,33,"BRA","Brazil",2,"Alagoas",109,"São Luís do Quitunde",125,"São Luís do Quitunde","Distrito","District",NA,NA
126,33,"BRA","Brazil",2,"Alagoas",110,"São Miguel dos Campos",126,"São Miguel dos Campos","Distrito","District",NA,NA
