codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A652,20/02/19,23,26.1,26.4,26.1,86,87,86,23.5,24,23.5,1007.7,1007.7,1006.9,0.5,79,2,-2.65,0
A652,20/02/19,22,26.3,26.7,26.2,87,88,86,24,24.1,23.9,1006.9,1007,1006.3,0.9,68,3.2,24.91,0
A652,20/02/19,21,26.7,27.7,26.7,86,86,81,24.1,24.4,24,1006.3,1006.3,1005.5,2,140,3.6,322.1,0
A652,20/02/19,20,27.7,28.6,27.4,81,81,75,24.2,24.7,23.2,1005.5,1005.6,1004.8,1.9,134,3,762.1,0
A652,20/02/19,19,28.4,30.9,28.4,75,75,69,23.5,24.8,23.2,1004.9,1004.9,1004.5,1.9,129,3.7,2000,0
A652,20/02/19,18,30.9,31.9,30.2,70,72,65,24.8,25.3,23.6,1004.7,1005.7,1004.7,2.4,141,4,3007,0
A652,20/02/19,17,31,31.9,30.3,66,71,63,23.9,25.1,23.2,1005.7,1006.5,1005.6,3,154,4.6,3501,0
A652,20/02/19,16,30.9,31.4,30,68,72,67,24.4,25.3,23.5,1006.5,1006.8,1006.5,3.2,146,4,3753,0
A652,20/02/19,15,30.5,31.3,29.3,72,74,64,24.8,25.2,22.4,1006.8,1006.9,1006.6,2.4,131,3.3,3740,0
A652,20/02/19,14,30.3,32.1,29.3,64,72,63,22.6,25.9,22.6,1006.8,1007.1,1006.8,2.1,137,3.5,3444,0
A652,20/02/19,13,30.8,30.8,28.9,68,72,62,24.2,24.5,21.8,1007,1007.2,1007,1.2,174,2.1,2942,0
A652,20/02/19,12,29,29.1,26.7,70,78,68,22.9,24,22.1,1007,1007,1006.5,1.1,106,2.9,2205,0
A652,20/02/19,11,27.5,27.5,26.5,76,78,72,22.8,23.2,21.2,1006.5,1006.5,1006.1,1.3,292,3.1,1341,0.2
A652,20/02/19,10,26.6,26.7,25.2,73,77,70,21.3,21.4,20.5,1006.1,1006.1,1005.3,0.9,330,4.1,467.8,0
A652,20/02/19,9,25.2,25.5,24.9,77,77,74,20.8,20.9,20.4,1005.4,1005.4,1004.7,0.7,29,4.9,6.126,0
A652,20/02/19,8,25,25.9,25,75,79,68,20.4,21.6,19.6,1004.8,1005.2,1004.8,1.3,50,4.3,-3.43,0
A652,20/02/19,7,25.9,26.4,24.7,68,76,65,19.6,20.2,19.2,1005.1,1005.1,1004.8,1,13,7.5,-1.65,0
A652,20/02/19,6,25.9,26.2,25.6,68,71,67,19.6,20,19.5,1004.9,1005.7,1004.9,1.6,79,7.2,-0.86,0
A652,20/02/19,5,25.9,26.2,25.2,69,76,68,19.7,20.6,19.7,1005.7,1006.7,1005.7,1.6,26,5.8,0.248,0
A652,20/02/19,4,25.2,25.3,24.7,76,80,76,20.7,21.2,20.6,1006.7,1007.4,1006.7,1.5,334,9.6,0.019,0
A652,20/02/19,3,25.3,27,24.9,78,81,76,21.1,22.6,21,1007.4,1007.9,1007.4,2.9,91,5.5,-3.54,1.8
A652,20/02/19,2,27,27.9,26.9,77,82,75,22.6,23.6,22.5,1007.8,1007.9,1007.3,0.8,348,5.8,-2.29,0.4
A652,20/02/19,1,26.9,27.8,26.6,82,83,73,23.6,23.6,22.3,1007.4,1007.4,1006,2.5,270,5.8,-1.07,0
A652,20/02/19,0,27.6,27.8,26.7,74,78,73,22.5,22.8,22.2,1006,1006,1005.6,0.6,347,3.7,-3.03,0
A652,21/02/19,23,25.5,25.5,25.2,90,90,90,23.7,23.7,23.5,1010.5,1010.5,1009.8,1.9,84,5,-2.32,0
