id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
179;PosDoc;PPGE;UFRJ;Limnologia;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
105;Mestrado;PPGE;UFRJ;Limnologia;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
78;Mestrado;PPGE;UFRJ;Inseto-Planta;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
138;Doutorado;PPGE;UFRJ;Vertebrados;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
122;Mestrado;PPGE;UFRJ;Vertebrados;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
33;Doutorado;PPGE;UFRJ;Inseto-Planta;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
47;Mestre;Interno;UFRJ;LEI;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
155;Professor;Dept Ecologia;UFRJ;LEI;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
67;Graduacao;IB;UFRJ;NA;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
84;Professor;Dept Ecologia;UFRJ;LECP;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
18;Doutorado;PPGE;UFRJ;Vertebrados;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
205;Doutorado;Externo;PEA;NA;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
211;Graduacao;IB;UFRJ;NA;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
