"coords.x1" "coords.x2"
-49.86 -29.07
-48.10961 -24.55275
-50.21274 -29.97688
-54.41319 -25.60339
-53.87175 -25.21567
-48.67077 -26.07183
-36.43501 -9.24455
-36.73056 -9.4125
-36.7306 -9.41263
0 0
-53.95556 -25.30694
-48.38508 -25.17772
-51.97003 -23.87139
-36.43591 -9.24398
-51.98242 -23.88281
-47.38001 -24.03817
-47.38001 -24.03817
-37.96667 -12.16667
-37.96667 -12.16667
-49.36444 -26.92667
-39.63714 -13.71706
-39.63714 -13.71706
0 0
-50.57269 -23.1495
-39.05472 -15.15972
-40.16244 -18.36272
-46.51667 -22.58333
-41.83879 -20.64319
-39.62833 -13.71528
-39.63583 -13.71878
-39.63558 -13.72561
-39.63558 -13.72561
-39.63583 -13.71878
-39.35833 -17.77444
-41.47306 -20.36472
-39.7322 -18.5933
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.84722 -20.79555
-49.41306 -28.52639
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-48.49222 -22.88111
-42.85 -20.8
-42.85 -20.8
-39.03417 -14.33333
-49.23142 -27.18139
-48.96083 -28.08056
-49.04972 -28.16944
-48.87139 -27.71889
-39.13333 -16.33333
-48.86972 -27.99
-52.72528 -23.09428
-52.72528 -23.09428
-48.91611 -25.43944
-49.68 -28.79972
-34.99739 -7.84093
-46.75972 -23.45444
0 0
-39.72528 -19.35167
-48.54811 -27.17264
-39.7075 -14.18139
0 0
-39.71111 -14.16722
-40.525 -20.26778
-52.32047 -24.11161
-51.23333 -23.38333
-45.07887 -23.38037
-51.36267 -23.40656
0 0
-51.05 -23.26667
-43.51822 -19.23603
-47.3903 -22.1856
-53.02969 -24.15672
-48.01 -15.90667
-47.92285 -25.07289
-40.81444 -18.87556
-49.30028 -28.71389
-47.92285 -25.07289
0 0
-40.46556 -19.28806
-40.55111 -19.34833
-40.46833 -20.33917
0 0
-40.73 -18.89222
-40.73 -18.89222
-55.91 -9.64
-55.91556 -9.64056
-55.91556 -9.64056
-40.46333 -19.27583
0 0
-45.07083 -23.43417
-47.92285 -25.07289
-48.19305 -15.38889
-47.92285 -25.07289
-48.19306 -15.38889
0 0
0 0
-39.09028 -13.32889
-48.18333 -23.0333
-39.47167 -12.86944
-48.18333 -23.0333
-39.47167 -12.86944
-40.67694 -20.09639
-46.71667 -23.55
0 0
-50.97556 -23.54083
-39.99722 -19.15611
-36.57583 -9.51861
-47.94861 -15.92583
-40.55306 -19.9075
-40.55306 -19.9075
-40.55306 -19.9075
-36.05528 -9.27444
0 -19.10342
-35.87467 -9.21292
-35.88 -9.22153
-42.84722 -20.79555
0 0
-39.15167 -14.02444
0 0
0 0
-39.0675 -15.16778
-39.08333 -15.15
-39.08333 -15.15
-39.08333 -15.15
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-39.01667 -16.26667
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-42.85 -20.8
-47.61 -14.17444
-47.61028 -14.17444
0 0
0 0
0 0
0 0
0 0
0 0
-47.85 -15.86667
-47.85 -15.86667
-45.07083 -23.43417
0 0
-157.85 21.45
-48.03333 -24.26667
-48.03333 -24.26667
-47.92556 -24.38778
-48.03333 -24.26667
-48.03333 -24.26667
-47.92556 -24.38778
-48.03333 -24.26667
-48.03 -24.27
-48.03333 -24.26667
0 0
0 0
-41.41667 -12.45
-48.28333 -13.71667
-40.5747 -15.2647
-40.5747 -15.2647
-46.77444 -23.9
-40.53028 -19.97139
-54.6 -25.57
0 0
-41.19833 -20.91444
0 0
-47.96667 -15.78333
0 0
-39.32 -16.45
-47.21667 -24.05
-39.32528 -16.4625
-39.08 -15.15
0 0
0 0
-54.6 -25.65
-54.6 -25.63333
-54.6 -54.63
-54.6 -25.65
0 0
-46.77444 -23.9
-39.06917 -14.78194
0 0
0 0
0 0
-40.53028 -19.97139
-40.53028 -19.97139
-40.53028 -19.97139
-54.40389 -25.7
-41.91667 -13.25
-38.35108 -19.13364
-40.53028 -19.97139
0 0
0 0
-40.53028 -19.97139
-40.071853011446 -19.3949002236543
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
-39.0617 -14.4231
0 0
-49.32111 -28.51833
0 0
0 0
0 0
0 0
-48.3 -13.83333
-48.3 -13.83333
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
-40.06361 -19.1375
0 0
-39.7 -17.48333
-38.9 -15.85
-38.9 -15.85
-39.7 -17.48333
-39.65 -18.08
-39.65 -18.08333
-40.63278 -19.915
0 0
0 0
-40.53028 -19.97139
-40.53028 -19.97139
0 0
0 0
-42.53111 -22.28194
-40.63278 -19.915
0 0
-40.53028 -19.97139
0 0
0 0
-40.63278 -19.915
0 0
-40.6002886399709 -19.9396102993179
-40.92417 -20.17694
-40.92417 -20.17694
-40.06361 -19.1375
-40.05 -19.15
-39.65 -18.08
-39.65 -18.08333
0 0
0 0
-40.6003 -19.9356
-40.53028 -19.97139
-40.58917 -19.92222
-40.53028 -19.97139
0 0
-40.53028 -19.97139
-40.58917 -19.92222
-40.61667 -19.93611
-40.63278 -19.915
-38.43333 -12.16667
-40.63278 -19.915
-38.43 -12.17
-38.43 -12.17
-40.63278 -19.915
-38.43 -12.17
-39.05 -13.5
-39.05 -13.5
-39.05 -13.5
-46 -23.58333
0 0
0 0
0 0
-40.06361 -19.1375
-40.06361 -19.1375
-39.13333 -16.38333
0 0
0 0
-39.06917 -14.78194
-40.6002886399709 -19.9396102993179
-40.6075 -19.93139
0 0
-39.28528 -16.61861
0 0
-39.0647 -16.4497
-39.28528 -16.61861
0 0
-54.58333 -25.5
-69.68333 11.19167
-40.53028 -19.97139
-39.13333 -16.38333
-39.13333 -16.38333
-48.55278 -27.15806
0 0
0 0
0 0
0 0
0 0
-39.7 -17.48
-54.6 -25.57
-38.3 -12.48333
0 0
0 0
-39.42 -16.88
-39.41667 -16.88333
-39.41667 -16.88333
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
-52.60551687907 -23.667141875463
0 0
-47.9298726661488 -15.7834208090807
-43.2076685470805 -22.9069598238154
0 0
-40.08087 -13.56157
-40.08087 -13.56157
0 0
0 0
0 0
0 0
0 0
-49.7062215087586 -24.2549639591203
-54.41 -25.88
-54.41 -25.88
0 0
-54.41 -25.88
-39.01667 -14.41667
-54.17 -26.92
-39.08333 -15.15
-39.06917 -14.78194
-52.8731 -10.8339
-39.25409 -15.14694
0 0
0 0
-39.53111 -15.15444
-54.2 -26.9
-54.61667 -25.43333
-54.41 -25.88
-54.41 -25.88
-39.03417 -14.365
-39.25 -16.86667
-54.41 -25.88
-55.86667 -25.13333
0 0
-50.1083 -29.6017
0 0
-54.41 -25.88
-54.41 -25.88
-54.61667 -25.43333
-54.41 -25.88
-35.86667 -9.2
0 0
-40.57472 -15.26472
-39.52861 -15.15806
-50.1083 -29.6017
